HallwayType,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice
mixed,Myung-duk,5,6,5,536,1993,4,914,161504
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,814,165486
terraced,Banwoldang,0,0,0,203,2014,10,914,376106
corridor,Sin-nam,1,5,2,18,1986,3,508,100000
terraced,Banwoldang,0,4,1,605,2007,5,1690,360176
mixed,Bangoge,5,5,4,798,2005,7,914,206194
corridor,Sin-nam,1,5,2,18,1986,3,508,44247
mixed,Bangoge,5,5,4,798,2005,7,914,196460
mixed,Myung-duk,5,6,5,536,1993,4,644,105309
mixed,Myung-duk,5,6,5,536,1993,4,1761,190265
corridor,Myung-duk,5,7,5,0,1992,3,355,78761
mixed,Myung-duk,5,6,5,536,1993,4,644,85398
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,376106
corridor,Sin-nam,1,5,2,18,1986,3,793,169911
corridor,Myung-duk,5,7,5,0,1992,3,576,115044
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,353982
terraced,Sin-nam,0,3,2,475,2008,8,829,295575
mixed,Myung-duk,5,6,5,536,1993,4,644,120353
terraced,Sin-nam,0,3,2,475,2008,8,914,346902
terraced,Myung-duk,5,7,5,1174,2014,9,644,265486
mixed,Bangoge,5,5,4,798,2005,7,572,113716
mixed,Myung-duk,5,6,5,536,1993,4,644,61946
mixed,Bangoge,5,5,4,798,2005,7,914,203982
corridor,Myung-duk,5,7,5,0,1992,3,355,81858
terraced,no_subway_nearby,2,2,1,203,2009,5,914,192920
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,907,259026
terraced,Myung-duk,5,7,5,1174,2014,9,914,354867
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,636,193805
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,361946
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,170796
mixed,Myung-duk,5,6,5,536,1993,4,1451,173008
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,263716
terraced,Myung-duk,5,7,5,1174,2014,9,644,287610
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,460176
terraced,Myung-duk,5,7,5,1174,2014,9,914,341150
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,779,194690
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,871,115044
terraced,Sin-nam,0,1,2,536,2006,5,1743,342477
mixed,Chil-sung-market,1,7,3,56,1997,5,644,100000
corridor,Myung-duk,5,7,5,0,1992,3,355,38761
terraced,Sin-nam,0,1,2,536,2006,5,1437,287610
corridor,Myung-duk,5,7,5,0,1992,3,640,96460
mixed,Myung-duk,5,6,5,536,1993,4,1761,218584
terraced,Banwoldang,0,4,1,605,2007,5,1334,315929
terraced,Myung-duk,2,3,1,181,2006,4,903,201327
mixed,Myung-duk,5,6,5,536,1993,4,914,164601
mixed,Myung-duk,5,6,5,536,1993,4,914,178761
terraced,Myung-duk,5,7,5,1174,2014,9,846,330973
mixed,Myung-duk,5,6,5,536,1993,4,914,200884
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,343628
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,214159
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,194690
mixed,Myung-duk,5,6,5,536,1993,4,1451,256637
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,356637
terraced,Banwoldang,0,0,0,203,2014,10,914,369026
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,250000
mixed,Bangoge,5,5,4,798,2005,7,572,130973
mixed,Chil-sung-market,1,7,3,56,1997,5,558,63274
terraced,Myung-duk,5,7,5,1174,2014,9,910,384070
mixed,Myung-duk,1,5,4,79,1992,3,914,84070
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,189380
terraced,Myung-duk,5,7,5,1174,2014,9,907,349557
mixed,Chil-sung-market,1,7,3,56,1997,5,430,84955
mixed,Bangoge,5,5,4,798,2005,7,572,88495
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,636,253982
terraced,Banwoldang,0,2,2,524,2007,4,1394,371681
mixed,Myung-duk,5,6,5,536,1993,4,644,88495
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,325663
terraced,Myung-duk,5,7,5,1174,2014,9,640,290265
corridor,Myung-duk,5,7,5,0,1992,3,355,94690
terraced,Banwoldang,0,2,2,524,2007,4,914,210619
terraced,Sin-nam,0,3,2,475,2008,8,829,217699
terraced,Banwoldang,0,4,1,605,2007,5,1483,353982
terraced,Myung-duk,5,7,5,1174,2014,9,640,257522
terraced,Sin-nam,0,1,2,536,2006,5,818,211061
terraced,Banwoldang,0,4,1,605,2007,5,1483,318584
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,198230
terraced,Sin-nam,0,1,2,536,2006,5,1412,295575
corridor,Banwoldang,0,3,2,108,2014,2,213,74955
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,367256
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,1327,166371
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,162831
mixed,Myung-duk,5,6,5,536,1993,4,644,176106
mixed,Bangoge,5,5,4,798,2005,7,914,188495
mixed,Chil-sung-market,1,7,3,56,1997,5,644,84070
mixed,Myung-duk,1,5,4,79,1992,3,1448,123893
terraced,no_subway_nearby,0,1,1,1321,2015,10,644,247787
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,207522
corridor,Sin-nam,1,5,2,18,1986,3,910,175221
terraced,no_subway_nearby,2,2,1,203,2009,5,910,145628
mixed,Bangoge,5,5,4,798,2005,7,914,276991
terraced,Sin-nam,0,3,2,475,2008,8,829,235840
terraced,Banwoldang,0,4,1,605,2007,5,1483,300884
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,907,281415
mixed,Chil-sung-market,1,7,3,56,1997,5,430,88495
terraced,Sin-nam,0,1,2,536,2006,5,914,247787
terraced,Sin-nam,0,1,2,536,2006,5,818,204424
terraced,Sin-nam,0,3,2,475,2008,8,1167,264424
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,176991
corridor,Sin-nam,1,5,2,18,1986,3,793,97345
corridor,Sin-nam,1,5,2,18,1986,3,910,94690
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,133628
mixed,Myung-duk,1,5,4,79,1992,3,644,88495
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,400884
terraced,Myung-duk,5,7,5,1174,2014,9,910,346902
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,139823
corridor,Myung-duk,5,7,5,0,1992,3,355,89380
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,158407
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,319469
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,150442
terraced,Myung-duk,5,7,5,1174,2014,9,1085,515044
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,252212
terraced,no_subway_nearby,2,2,1,203,2009,5,910,260619
corridor,Banwoldang,0,3,2,108,2014,2,213,75221
mixed,Myung-duk,5,6,5,536,1993,4,1288,179646
corridor,Sin-nam,1,5,2,18,1986,3,508,55752
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,184070
terraced,Banwoldang,0,2,2,524,2007,4,1394,263716
terraced,Banwoldang,0,4,1,605,2007,5,1690,365486
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,343362
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1796,265486
mixed,Bangoge,5,5,4,798,2005,7,743,135398
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,151327
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,181415
terraced,Banwoldang,0,2,2,524,2007,4,1394,253982
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1519,484955
mixed,Chil-sung-market,1,7,3,56,2003,5,907,123008
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,225663
corridor,Banwoldang,0,3,2,108,2014,2,288,99115
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,644,265486
mixed,Myung-duk,5,6,5,536,1993,4,644,151769
terraced,Myung-duk,5,7,5,1174,2014,9,644,247787
terraced,Sin-nam,0,3,2,475,2008,8,914,325663
mixed,Bangoge,5,5,4,798,2005,7,914,246902
mixed,Bangoge,5,5,4,798,2005,7,572,113274
terraced,no_subway_nearby,0,1,1,1321,2015,10,644,321238
mixed,Bangoge,5,5,4,798,2005,7,572,193805
corridor,Myung-duk,5,7,5,0,1992,3,576,66371
terraced,Banwoldang,0,4,1,605,2007,5,1273,296460
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1519,362831
terraced,Banwoldang,0,2,2,524,2007,4,1366,256637
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,345132
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,176991
terraced,Myung-duk,5,7,5,1174,2014,9,910,334513
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,185840
mixed,Bangoge,5,5,4,798,2005,7,743,140265
terraced,Sin-nam,0,3,2,475,2008,8,829,242477
terraced,Banwoldang,0,2,2,524,2007,4,1419,236725
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,339035
mixed,Myung-duk,1,5,4,79,1992,3,644,131858
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,154867
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,814,245132
corridor,Banwoldang,0,3,2,108,2014,2,213,72566
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,384955
terraced,Banwoldang,0,2,2,524,2007,4,1366,270796
terraced,Myung-duk,5,7,5,1174,2014,9,907,336283
terraced,Sin-nam,0,1,2,536,2006,5,914,203539
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,636,224778
terraced,Banwoldang,0,2,2,524,2007,4,1419,333628
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,262920
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,814,203539
terraced,Banwoldang,0,2,2,524,2007,4,1394,262831
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,238938
terraced,Banwoldang,0,4,1,605,2007,5,1629,319469
terraced,no_subway_nearby,2,2,1,203,2009,5,910,304424
terraced,no_subway_nearby,2,2,1,203,2009,5,910,281415
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,871,233185
mixed,Bangoge,5,5,4,798,2005,7,743,181415
terraced,Banwoldang,0,2,2,524,2007,4,1394,299115
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,126548
mixed,Myung-duk,5,6,5,536,1993,4,644,106194
terraced,Myung-duk,2,3,1,181,2006,4,903,181415
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,347787
corridor,Myung-duk,5,7,5,0,1992,3,576,59292
corridor,Myung-duk,5,7,5,0,1992,3,355,34070
terraced,Sin-nam,0,1,2,536,2006,5,1437,283185
mixed,Bangoge,5,5,4,798,2005,7,914,243362
terraced,Myung-duk,2,3,1,181,2006,4,857,256637
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,387610
terraced,Sin-nam,0,1,2,536,2006,5,818,214159
mixed,Myung-duk,5,6,5,536,1993,4,1451,230088
terraced,no_subway_nearby,2,2,1,203,2009,5,910,156637
terraced,Sin-nam,0,1,2,536,2006,5,914,320353
terraced,Myung-duk,5,7,5,1174,2014,9,1092,411504
mixed,Bangoge,5,5,4,798,2005,7,1184,230088
terraced,Sin-nam,0,1,2,536,2006,5,818,206194
terraced,Sin-nam,0,1,2,536,2006,5,1743,314159
terraced,Sin-nam,0,1,2,536,2006,5,1743,453982
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,814,141592
corridor,Sin-nam,1,5,2,18,1986,3,508,59911
terraced,Banwoldang,0,4,1,605,2007,5,1444,283185
terraced,Myung-duk,2,3,1,181,2006,4,903,184070
corridor,Myung-duk,5,7,5,0,1992,3,640,123893
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,388495
mixed,Myung-duk,5,6,5,536,1993,4,644,115044
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,811,219911
mixed,Bangoge,5,5,4,798,2005,7,914,169026
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,180973
mixed,Bangoge,5,5,4,798,2005,7,914,267699
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,320353
terraced,no_subway_nearby,2,2,1,203,2009,5,910,273893
terraced,Banwoldang,0,4,1,605,2007,5,1483,429203
terraced,Myung-duk,5,7,5,1174,2014,9,910,288495
terraced,Myung-duk,5,7,5,1174,2014,9,644,272566
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,811,253097
terraced,Banwoldang,0,4,1,605,2007,5,1273,289380
terraced,Myung-duk,5,7,5,1174,2014,9,914,344247
mixed,Myung-duk,5,6,5,536,1993,4,1451,314159
terraced,Myung-duk,5,7,5,1174,2014,9,914,327433
terraced,Banwoldang,0,4,1,605,2007,5,1444,405309
mixed,Chil-sung-market,1,7,3,56,1997,5,644,87610
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,223008
mixed,Bangoge,5,5,4,798,2005,7,572,147787
terraced,Banwoldang,0,2,2,524,2007,4,1448,344247
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,181415
terraced,Sin-nam,0,1,2,536,2006,5,914,290707
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,201769
terraced,Daegu,0,3,2,400,2015,7,914,345132
terraced,Sin-nam,0,3,2,475,2008,8,914,166371
terraced,Myung-duk,5,7,5,1174,2014,9,1088,442477
mixed,Bangoge,5,5,4,798,2005,7,572,157079
mixed,Myung-duk,5,6,5,536,1993,4,914,166371
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,814,269911
mixed,Myung-duk,1,5,4,79,1992,3,914,131858
terraced,Sin-nam,0,3,2,475,2008,8,914,240707
terraced,Sin-nam,0,1,2,536,2006,5,914,241592
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,300000
terraced,Banwoldang,0,4,1,605,2007,5,1483,283185
mixed,Myung-duk,1,5,4,79,1992,3,644,104424
terraced,Banwoldang,0,0,0,203,2014,10,914,361061
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,291247
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,390707
terraced,Sin-nam,0,1,2,536,2006,5,1743,345132
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,310079
mixed,Bangoge,5,5,4,798,2005,7,914,155752
mixed,Myung-duk,1,5,4,79,1992,3,644,84955
mixed,Myung-duk,5,6,5,536,1993,4,644,159734
mixed,Chil-sung-market,1,7,3,56,1997,5,914,101769
mixed,Bangoge,5,5,4,798,2005,7,914,281415
terraced,Banwoldang,0,2,2,524,2007,4,1103,314159
corridor,Myung-duk,5,7,5,0,1992,3,640,61946
terraced,Myung-duk,5,7,5,1174,2014,9,640,253982
mixed,Bangoge,5,5,4,798,2005,7,572,126991
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,230088
mixed,Myung-duk,5,6,5,536,1993,4,644,143362
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,814,223008
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,378053
mixed,Myung-duk,5,6,5,536,1993,4,644,85840
mixed,Bangoge,5,5,4,798,2005,7,743,210619
terraced,Banwoldang,0,4,1,605,2007,5,1629,422123
mixed,Myung-duk,5,6,5,536,1993,4,1451,336283
mixed,Chil-sung-market,1,7,3,56,2003,5,907,128318
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,234513
mixed,Myung-duk,1,5,4,79,1992,3,914,141592
terraced,Banwoldang,0,2,2,524,2007,4,1366,251327
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,371681
terraced,Banwoldang,0,2,2,524,2007,4,1394,278761
terraced,Daegu,0,3,2,400,2015,7,644,287610
terraced,Banwoldang,0,2,2,524,2007,4,1366,238938
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,307522
terraced,no_subway_nearby,2,2,1,203,2009,5,914,196389
mixed,Myung-duk,5,6,5,536,1993,4,644,180530
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,226991
corridor,Daegu,2,5,0,76,1985,3,587,123008
corridor,Myung-duk,5,7,5,0,1992,3,576,69469
mixed,Bangoge,5,5,4,798,2005,7,914,272566
terraced,Banwoldang,0,2,2,524,2007,4,1103,252212
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,132743
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,253097
mixed,Bangoge,5,5,4,798,2005,7,743,190265
terraced,Myung-duk,2,3,1,181,2006,4,903,225663
terraced,no_subway_nearby,2,2,1,203,2009,5,910,200522
mixed,Myung-duk,5,6,5,536,1993,4,914,122389
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,246017
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,305309
terraced,no_subway_nearby,0,1,1,1321,2015,10,644,252212
mixed,Myung-duk,5,6,5,536,1993,4,914,126548
terraced,Sin-nam,0,3,2,475,2008,8,914,335398
terraced,Myung-duk,5,7,5,1174,2014,9,843,300884
terraced,Banwoldang,0,2,2,524,2007,4,1103,220265
terraced,Banwoldang,0,2,2,524,2007,4,1394,300884
terraced,Banwoldang,0,4,1,605,2007,5,1444,319469
terraced,Sin-nam,0,3,2,475,2008,8,914,246902
terraced,Sin-nam,0,1,2,536,2006,5,1412,344247
corridor,Myung-duk,5,7,5,0,1992,3,355,62831
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,252212
terraced,Myung-duk,2,3,1,181,2006,4,903,196460
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,907,338938
corridor,Myung-duk,5,7,5,0,1992,3,355,71681
mixed,Myung-duk,1,5,4,79,1992,3,914,214159
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,119292
mixed,Bangoge,5,5,4,798,2005,7,743,140707
terraced,Banwoldang,0,2,2,524,2007,4,1419,209734
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1796,262831
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,283185
terraced,Banwoldang,0,2,2,524,2007,4,914,160637
mixed,Myung-duk,5,6,5,536,1993,4,644,141592
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,351327
terraced,Banwoldang,0,2,2,524,2007,4,914,163539
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,636,254867
terraced,Sin-nam,0,1,2,536,2006,5,1412,272566
mixed,Bangoge,5,5,4,798,2005,7,1184,210619
terraced,Myung-duk,5,7,5,1174,2014,9,640,243362
terraced,no_subway_nearby,0,1,1,1321,2015,10,644,269911
terraced,Daegu,0,3,2,400,2015,7,839,353982
terraced,Banwoldang,0,2,2,524,2007,4,1419,389380
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,259292
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,350442
terraced,Sin-nam,0,1,2,536,2006,5,914,301327
terraced,Myung-duk,5,7,5,1174,2014,9,910,224690
mixed,Chil-sung-market,1,7,3,56,1997,5,914,205752
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,218141
terraced,Sin-nam,0,1,2,536,2006,5,1412,336283
mixed,Myung-duk,5,6,5,536,1993,4,914,112389
terraced,Daegu,0,3,2,400,2015,7,914,378761
terraced,Sin-nam,0,3,2,475,2008,8,914,255752
mixed,Bangoge,5,5,4,798,2005,7,572,100884
corridor,Myung-duk,5,7,5,0,1992,3,576,141592
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,141592
mixed,Bangoge,5,5,4,798,2005,7,914,202654
terraced,Sin-nam,0,1,2,536,2006,5,914,287610
terraced,Banwoldang,0,2,2,524,2007,4,1366,396460
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,636,141592
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,163716
corridor,Myung-duk,5,7,5,0,1992,3,355,53097
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,198230
terraced,no_subway_nearby,2,2,1,203,2009,5,910,295575
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,513274
mixed,Myung-duk,5,6,5,536,1993,4,1288,194690
terraced,Sin-nam,0,1,2,536,2006,5,914,221238
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,128318
terraced,Sin-nam,0,3,2,475,2008,8,829,284955
mixed,Bangoge,5,5,4,798,2005,7,914,184070
mixed,Chil-sung-market,1,7,3,56,1997,5,644,146017
mixed,Myung-duk,5,6,5,536,1993,4,914,143805
terraced,Banwoldang,0,2,2,524,2007,4,1394,261061
mixed,Myung-duk,5,6,5,536,1993,4,914,110176
terraced,Sin-nam,0,1,2,536,2006,5,1149,279646
corridor,Myung-duk,5,7,5,0,1992,3,355,64159
corridor,Myung-duk,5,7,5,0,1992,3,576,81415
corridor,Sin-nam,1,5,2,18,1986,3,910,185840
mixed,Chil-sung-market,1,7,3,56,1997,5,914,115929
mixed,Bangoge,5,5,4,798,2005,7,572,107964
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,221238
mixed,Myung-duk,1,5,4,79,1992,3,914,153097
terraced,Myung-duk,5,7,5,1174,2014,9,1092,402654
terraced,Sin-nam,0,3,2,475,2008,8,829,212389
terraced,Banwoldang,0,2,2,524,2007,4,1103,237168
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,317699
mixed,Bangoge,5,5,4,798,2005,7,743,144247
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,811,180530
terraced,Myung-duk,5,7,5,1174,2014,9,640,242477
terraced,Sin-nam,0,1,2,536,2006,5,914,214159
terraced,Myung-duk,5,7,5,1174,2014,9,907,323008
terraced,Sin-nam,0,1,2,536,2006,5,818,213274
mixed,Myung-duk,5,6,5,536,1993,4,914,141592
terraced,no_subway_nearby,2,2,1,203,2009,5,910,141592
terraced,Banwoldang,0,4,1,605,2007,5,1273,358407
mixed,Chil-sung-market,1,7,3,56,1997,5,558,111504
corridor,Myung-duk,5,7,5,0,1992,3,640,84070
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,217699
corridor,Myung-duk,5,7,5,0,1992,3,355,37787
corridor,Sin-nam,1,5,2,18,1986,3,508,105309
terraced,Myung-duk,5,7,5,1174,1980,9,1060,92920
corridor,Sin-nam,1,5,2,18,1986,3,508,64601
mixed,Bangoge,5,5,4,798,2005,7,743,211946
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,814,142920
mixed,Myung-duk,5,6,5,536,1993,4,1288,259292
corridor,Sin-nam,1,5,2,18,1986,3,508,53097
terraced,Sin-nam,0,1,2,536,2006,5,914,322123
terraced,no_subway_nearby,2,2,1,203,2009,5,910,228318
terraced,Myung-duk,5,7,5,1174,1980,9,910,76991
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,362601
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,427876
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,644,264601
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,234513
mixed,Bangoge,5,5,4,798,2005,7,743,168141
terraced,Banwoldang,0,4,1,605,2007,5,1483,389380
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,237008
corridor,Sin-nam,1,5,2,18,1986,3,508,63716
mixed,Bangoge,5,5,4,798,2005,7,914,192920
mixed,Myung-duk,5,6,5,536,1993,4,914,216814
terraced,Sin-nam,0,1,2,536,2006,5,1743,380530
mixed,Myung-duk,5,6,5,536,1993,4,1451,214159
terraced,Banwoldang,0,4,1,605,2007,5,1334,389380
terraced,Sin-nam,0,3,2,475,2008,8,914,260176
terraced,Banwoldang,0,2,2,524,2007,4,1394,380530
terraced,Myung-duk,5,7,5,1174,2014,9,843,330088
terraced,Sin-nam,0,3,2,475,2008,8,914,261061
terraced,Myung-duk,5,7,5,1174,2014,9,914,380530
corridor,Myung-duk,5,7,5,0,1992,3,576,114601
mixed,Chil-sung-market,1,7,3,56,1997,5,914,110619
corridor,Sin-nam,1,5,2,18,1986,3,508,69469
terraced,Myung-duk,2,3,1,181,2006,4,857,202654
terraced,no_subway_nearby,2,2,1,203,2009,5,910,225663
terraced,no_subway_nearby,2,2,1,203,2009,5,910,175681
mixed,Chil-sung-market,1,7,3,56,1997,5,430,57964
terraced,Banwoldang,0,2,2,524,2007,4,1366,285840
mixed,Myung-duk,1,5,4,79,1992,3,1448,166371
mixed,Myung-duk,5,6,5,536,1993,4,914,230088
terraced,Daegu,0,3,2,400,2015,7,832,303539
mixed,Myung-duk,5,6,5,536,1993,4,1761,221681
mixed,Myung-duk,5,6,5,536,1993,4,644,70796
corridor,Myung-duk,5,7,5,0,1992,3,355,42477
terraced,no_subway_nearby,2,2,1,203,2009,5,914,188495
mixed,Bangoge,5,5,4,798,2005,7,914,137168
terraced,Sin-nam,0,1,2,536,2006,5,818,290265
mixed,Myung-duk,5,6,5,536,1993,4,1761,345132
terraced,Sin-nam,0,3,2,475,2008,8,914,323008
mixed,Myung-duk,5,6,5,536,1993,4,1451,242477
corridor,Daegu,2,5,0,76,1985,3,676,73451
